index,title,genre,summary
3683,Jurassic Park,thriller,"An astonishing technique for recovering and cloning dinosaur DNA has been discovered. Now humankind’s most thrilling fantasies have come true. Creatures extinct for eons roam Jurassic Park with their awesome presence and profound mystery, and all the world can visit them—for a price.

Until something goes wrong. . . .

In Jurassic Park, Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying technothriller. (less)"
2857,Empire of Lies,thriller," The book is a thriller in which the protagonist Jason Harrow, a politically conservative Christian, believes that he has discovered an Islamist terrorist plot but that it being concealed by left-wing and politically-correct media."
2944,The Gun Seller,thriller," The Gun Seller tells the story of retired Army officer Thomas Lang, who lives a somewhat hand-to-mouth existence in London, his attention focused mainly on drinking whisky and driving his motorcycle. His income stems from a variety of bodyguard, strong-arm and mercenary jobs he undertakes, utilizing the skills he learned and contacts he made during his time in the Army. After being approached in Amsterdam by a man asking him to assassinate American businessman Alexander Woolf, Lang attempts to warn the intended victim at his Belgravia flat, finding Woolf gone and instead clashing with (and incapacitating) a mercenary, then encountering Woolf's daughter Sarah. Afterward Lang finds himself under intense scrutiny from both the Ministry of Defence and the Central Intelligence Agency, who claim Woolf is an international drug smuggler currently under investigation. Intrigued by the sudden interest of two government agencies, Lang attempts to track down the man who approached him in Amsterdam, unexpectedly finding him in London, and even more unexpectedly discovering that the man is Alexander Woolf himself. Eventually Woolf and his daughter agree to meet Lang at dinner and answer his questions. The elder Woolf explains that he tried to hire Lang as a hitman to see if he was a ""good man"", and admits he is under investigation, but not for selling drugs. Rather, Woolf is of interest because of what he knows about a next-generation light attack helicopter. More disturbingly, Woolf and Sarah claim that a conspiracy is under way to stage a terrorist attack and subsequently promote the light helicopter by sending one in to eliminate the terrorists. Lang is skeptical, but begins to believe the story after he is kidnapped and interrogated about Woolf. He frees himself, finding a heavily tortured Alexander Woolf in a nearby room. Woolf is killed shortly thereafter as Lang makes his escape, killing his captors in the process. With Sarah missing and now certain the conspiracy is real, Lang attempts to determine the main conspirators, aided by a friend of Sarah's named Ronnie. After some investigating he centers on a CIA Deputy Director named Barnes, who (forcibly) takes him to meet the head conspirator: billionaire Naimh Murdah. Murdah, owner of the company that manufactures the helicopter, openly admits to the plot and plainly states that Lang will be helping to carry out the terrorist attack, backing up his declaration with an open and explicit threat on Sarah's life. To illustrate his point, Murdah casually kills a CIA agent who accompanied Lang and Barnes to his home. Lang is placed within a small terrorist group called the Sword of Justice as a Minnesotan named Ricky, officially in order to gather intelligence and minimize casualties. A Dutch politician is seemingly shot dead by Lang in Switzerland as a warm up activity by the Sword of Justice, although it was a set-up and the politician was briefed and was wearing body armour. During a brief return to London Lang encounters Sarah and confronts her regarding pictures, provided to him by his friend and handler Solomon, showing Sarah and Barnes together. Sarah admits to being a part of the conspiracy, but swears her father's death was never part of the arrangement. Lang and Sword of Justice arrive in Casablanca and successfully take control of the American embassy there, holding a number of hostages. Barnes, Murdah, Sarah, and a number of other conspirators arrive in Casablanca to direct Lang and ensure the success of the plot. Lang covertly leaves the Embassy as directed, but as Murdah is talking to him Lang pulls a gun, slipped to him by Sarah as part of a plan they made in London. Lang forces Murdah into the Embassy at gunpoint and handcuffs him to a fire escape on the roof, then orders him to call off the helicopter attack. Murdah refuses, certain the attack will not come since he is in the line of fire, but Lang contends the greed of the remaining conspirators will ensure the attack goes as planned. Just as Lang predicted, the helicopter attacks, killing one of the terrorists, but before it can make another pass Lang shoots it down with a Javelin missile he smuggled into the embassy earlier. Footage of the helicopter's attack and destruction is shown worldwide via news networks covering the siege, ruining any chance of any military investing in the helicopter. Lang releases a statement (via the terrorists) to CNN outlining the conspiracy, ensuring that the plot is thwarted. The Ministry of Defence flies a tired Lang and Solomon back to England. After landing Lang is greeted by Ronnie, who managed to force the Ministry to allow her to ride with him from the airport, and makes it quite clear she is happy to see him."
2531,Cemetery Dance,thriller," Pendergast returns to NYC in New York Times bestselling authors Douglas Preston and Lincoln Child's newest novel featuring the enigmatic FBI Special Agent Aloysius Pendergast. After celebrating their first anniversary, William Smithback, a NY Times reporter, and his wife Nora Kelly, a Museum of Natural History archeologist, return home from a romantic dinner. Kelly slips out to pick up a pastry from the local shop, but upon her return to their apartment in the Upper West side of Manhattan, she finds the door ajar, Smithback dead, and is attacked as she approaches. Eyewitnesses claim, and the security camera confirms, the attacker seen leaving the building was an individual who lived in the apartment building along with Smithback and Kelly. The twist: the man that witnesses believe is Smithback's murderer was pulled from the river dead, after committing suicide, two weeks before the attack. D'Agosta, a homicide detective, leads the official investigation, while FBI Special Agent Aloysius Pendergast's and Kelly's involvement leads to a less traditional quest for the truth. Their serpentine journey takes them into a part of Manhattan they never imagined could exists: a secretive and deadly hotbed of Obeah, the West Indian Zombi cult of sorcery and magic. It is here they find their true peril is just beginning. it:Il sotterraneo dei vivi"
3776,Jar of Hearts,thriller,"This is the story of three best friends: one who was murdered, one who went to prison, and one who's been searching for the truth all these years . . .

When she was sixteen years old, Angela Wong—one of the most popular girls in school—disappeared without a trace. Nobody ever suspected that her best friend, Georgina Shaw, now an executive and rising star at her Seattle pharmaceutical company, was involved in any way. Certainly not Kaiser Brody, who was close with both girls back in high school.

But fourteen years later, Angela Wong's remains are discovered in the woods near Geo's childhood home. And Kaiser—now a detective with Seattle PD—finally learns the truth: Angela was a victim of Calvin James. The same Calvin James who murdered at least three other women.

To the authorities, Calvin is a serial killer. But to Geo, he's something else entirely. Back in high school, Calvin was Geo's first love. Turbulent and often volatile, their relationship bordered on obsession from the moment they met right up until the night Angela was killed.

For fourteen years, Geo knew what happened to Angela and told no one. For fourteen years, she carried the secret of Angela's death until Geo was arrested and sent to prison.

While everyone thinks they finally know the truth, there are dark secrets buried deep. And what happened that fateful night is more complex and more chilling than anyone really knows. Now the obsessive past catches up with the deadly present when new bodies begin to turn up, killed in the exact same manner as Angela Wong.

How far will someone go to bury her secrets and hide her grief? How long can you get away with a lie? How long can you live with it? (less)"
3745,Eye of the Needle,thriller,"One enemy spy knows the secret to the Allies' greatest deception, a brilliant aristocrat and ruthless assassin -- code name: ""The Needle"" -- who holds the key to ultimate Nazi victory.
Only one person stands in his way: a lonely Englishwoman on an isolated island, who is beginning to love the killer who has mysteriously entered her life.
All will come to a terrifying conclusion in Ken Follett's unsurpassed and unforgettable masterwork of suspense, intrigue, and the dangerous machinations of the human heart.
(less)"
2947,The Face,thriller," The main plot of the story follows Ethan Truman, an ex-cop who now works as the head of security for the most famous actor in Hollywood, Channing Manheim, a.k.a. ""The Face."" Ethan is trying to track down the sender of several gruesome ""messages"" that were received in black boxes. Ethan now has six black boxes to figure out what the contents of the boxes mean. After chasing down leads and tracking the ""ghost"" of his dead friend Duncan ""Dunny"" Whistler (technically, Dunny is not a ghost, as he came back to life in the morgue), Ethan finally uncovers the plot and races to stop the kidnapping of Manheim's son, Aelfric."
3892,False Witness,thriller,"AN ORDINARY LIFE

Leigh Coulton has worked hard to build what looks like a normal life. She has a good job as a defence attorney, a daughter doing well in school, and even her divorce is relatively civilised - her life is just as unremarkable as she'd always hoped it would be.

HIDES A DEVASTATING PAST

But Leigh's ordinary life masks a childhood which was far from average... a childhood tarnished by secrets, broken by betrayal, and finally torn apart by a devastating act of violence.

BUT NOW THE PAST IS CATCHING UP

Then a case lands on her desk - defending a wealthy man accused of rape. It's the highest profile case she's ever been given - a case which could transform her career, if she wins. But when she meets the accused, she realises that it's no coincidence that he's chosen her as his attorney. She knows him. And he knows her. More to the point, he knows what happened twenty years ago, and why Leigh has spent two decades running.

AND TIME IS RUNNING OUT

If she can't get him acquitted, she'll lose much more than the case. The only person who can help her is her younger, estranged sister Calli, the last person Leigh would ever want to ask for help. But suddenly she has no choice... (less)"
2576,Are You Afraid of the Dark?,thriller," In four cities across the world, four people die violently and mysteriously. The dead share a single crucial link: each was connected to an all-powerful environmental think tank. Two of the victims' widows—accomplished artist Diane Stevens and international supermodel Kelly Harris—may hold the key to their husbands' demise. Terrified for their lives, suspicious of each other, and armed only with their own wits and guile, they must join forces in a nightmare cycle of they loved...and about an awesome conspiracy whose ultimate target is as big as the earth and as close as the air we breathe."
3873,We Were Never Here,thriller,"An annual backpacking trip has deadly consequences in a chilling new novel from the bestselling author of The Lost Night and The Herd.

Emily is having the time of her life--she's in the mountains of Chile with her best friend, Kristen, on their annual reunion trip, and the women are feeling closer than ever. But on the last night of their trip, Emily enters their hotel suite to find blood and broken glass on the floor. Kristen says the cute backpacker she'd been flirting with attacked her, and she had no choice but to kill him in self-defense. Even more shocking: The scene is horrifyingly similar to last year's trip, when another backpacker wound up dead. Emily can't believe it's happened again--can lightning really strike twice?

Back home in Wisconsin, Emily struggles to bury her trauma, diving head-first into a new relationship and throwing herself into work. But when Kristen shows up for a surprise visit, Emily is forced to to confront their violent past. The more Kristen tries to keep Emily close, the more Emily questions her friend's motives. As Emily feels the walls closing in on their coverups, she must reckon with the truth about her closest friend. Can she outrun the secrets she shares with Kristen, or will they destroy her relationship, her freedom--even her life?

Alternate cover edition of ISBN 9781984820464. (less)"
2870,Caravan to Vaccarès,thriller," From all over Europe, even from behind the Iron Curtain, Gypsies make an annual pilgrimage to the holy shrine of their patron saint in the Provence region of southern France. But something is different about this year's gathering, with many suspicious deaths. Cecile Dubois and Neil Bowman decide to investigate. Eavesdropping, Bowman discovers that a man named Gaiuse Strome is financing the gypsies, and his suspicions on the real identity of Strome center on a highly wealthy aristocrat, distinguished folklorist and gastronome, Le Grand Duc Charles de Croytor, whose girlfriend Lila Delafont is a friend of Cecile. As they follow the caravan, Bowman and Cecile find that their lives in danger many times in an effort to uncover the secret the gypsies are so determined to hide, and before long are running for their lives."
